ticker,error,count,mean,median,std,min,max,range,25th_percentile,75th_percentile,iqr,current,z_score_current,label
MS,,4597.0,1.8065129432238418,1.91,1.34,-8.44,5.62,14.06,1.5,2.41,0.91,-8.44,-7.65,undervalued
JD,,1768.0,1.2729242081447965,1.27,0.58,0.3,2.84,2.54,0.65,1.71,1.06,0.31,-1.66,undervalued
PYPL,,2441.0,6.168656288406391,5.3,3.55,1.86,16.66,14.8,3.02,7.71,4.69,2.14,-1.13,normal
CVS,,3941.0,0.4812560263892413,0.45,0.2,0.15,1.05,0.9,0.33,0.6,0.27,0.27,-1.06,normal
AI,,1041.0,9.922026897214218,9.43,3.69,3.98,22.23,18.25,7.51,11.6,4.09,6.32,-0.98,normal
NKE,,5636.0,5.754622072391767,3.64,4.12,1.66,16.6,14.94,2.79,7.13,4.34,2.2,-0.86,normal
CRM,,5327.0,15.752810212126901,8.52,12.84,4.2,61.63,57.43,7.13,25.6,18.47,6.18,-0.75,normal
CRM,,5327.0,15.752810212126901,8.52,12.84,4.2,61.63,57.43,7.13,25.6,18.47,6.18,-0.75,normal
ROKU,,2000.0,8.651385,6.055,7.6,0.28,37.16,36.88,2.9,13.03,10.13,3.2,-0.72,normal
QRVO,,2621.0,3.079778710415872,2.97,1.06,0.94,6.13,5.19,2.37,3.56,1.19,2.33,-0.71,normal
DIS,,4086.0,2.7829662261380324,2.75,0.91,1.28,6.01,4.73,2.05,3.24,1.19,2.14,-0.71,normal
DOCU,,1856.0,12.198485991379311,6.3,10.7,2.94,45.63,42.69,4.47,15.2,10.73,4.69,-0.7,normal
DDOG,,1495.0,27.307137123745818,18.79,16.45,5.67,67.97,62.3,15.38,41.76,26.39,17.73,-0.58,normal
GEO,,5774.0,1.3983754762729477,1.34,0.78,0.26,4.16,3.9,0.85,1.61,0.76,0.96,-0.56,normal
SNOW,,1229.0,34.26816924328722,22.41,27.75,11.18,138.07,126.89,17.98,36.63,18.65,20.85,-0.48,normal
VZ,,5774.0,1.3408971250432975,1.33,0.3,0.7,1.99,1.29,1.12,1.58,0.46,1.2,-0.47,normal
DKNG,,1572.0,15.89312340966921,11.86,13.56,2.5,71.68,69.18,5.0,19.98,14.98,10.23,-0.42,normal
MA,,4886.0,22.578974621367173,16.675,17.74,6.22,98.76,92.54,11.73,20.95,9.22,17.35,-0.29,normal
NFLX,,5838.0,11.642944501541622,8.72,12.88,0.82,97.35,96.53,5.79,11.73,5.94,10.75,-0.07,normal
V,,4430.0,19.03809255079007,17.51,6.75,11.73,64.8,53.07,15.08,20.44,5.36,18.63,-0.06,normal
META,,3203.0,10.603203246955978,9.87,3.98,2.05,19.34,17.29,8.26,14.22,5.96,10.43,-0.04,normal
ASTS,,984.0,1330.5461382113822,81.38,4143.33,8.18,19875.38,19867.2,29.18,523.16,493.98,1348.57,0.0,normal
UBER,,1609.0,3.908123057799876,3.56,1.98,1.42,10.07,8.65,2.34,4.36,2.02,4.17,0.13,normal
LMT,,5698.0,1.480968760968761,1.51,0.51,0.61,2.66,2.05,1.05,1.86,0.81,1.55,0.14,normal
Z,,2440.0,6.936549180327869,6.6,3.16,1.88,27.55,25.67,4.98,8.16,3.18,7.53,0.19,normal
NOW,,3074.0,14.67129147690306,14.575,4.87,3.02,26.9,23.88,11.93,17.43,5.5,15.94,0.26,normal
TSLA,,3824.0,12.099456066945606,9.455,8.84,1.36,64.62,63.26,5.98,16.63,10.65,14.6,0.28,normal
NET,,1496.0,32.30839572192513,23.84,21.06,4.49,114.55,110.06,18.93,42.16,23.23,39.94,0.36,normal
MO,,5683.0,2.821214147457329,3.04,4.15,-28.12,22.02,50.14,1.96,3.93,1.98,4.72,0.46,normal
COGT,,754.0,7.6350795755968175,4.54,6.3,0.43,29.21,28.78,3.0,11.47,8.47,11.01,0.54,normal
ED,,5533.0,1.4766311223567685,1.35,0.52,0.66,2.51,1.85,0.99,1.99,1.0,1.78,0.58,normal
SMCI,,3887.0,0.7910573707229225,0.55,0.83,0.18,6.88,6.7,0.45,0.72,0.27,1.3,0.61,normal
BAC,,5838.0,2.895140459061322,2.87,1.61,0.2,7.28,7.08,1.85,3.5,1.65,3.87,0.61,normal
AMZN,,4090.0,2.8194083129584353,2.68,0.89,1.29,5.46,4.17,2.02,3.48,1.46,3.54,0.81,normal
BA,,5840.0,1.0622859589041096,1.1,1.26,-8.6,2.63,11.23,0.76,1.61,0.85,2.11,0.83,normal
SOFI,,1180.0,4.6428050847457625,3.58,3.18,1.84,22.74,20.9,2.65,5.42,2.77,7.6,0.93,normal
NVDA,,5902.0,16.069161301253814,13.57,11.73,1.61,53.85,52.24,6.18,24.83,18.65,27.57,0.98,normal
NVDA,,5902.0,16.069161301253814,13.57,11.73,1.61,53.85,52.24,6.18,24.83,18.65,27.57,0.98,normal
KO,,4086.0,5.0846598139990205,5.03,1.15,3.25,7.4,4.15,4.01,6.21,2.2,6.29,1.05,normal
PM,,4394.0,4.762034592626309,4.69,1.33,-2.99,10.18,13.17,4.29,5.22,0.93,6.28,1.14,normal
PANW,,3119.0,10.313315165117023,9.5,3.47,1.49,27.02,25.53,7.74,12.52,4.77,15.6,1.52,overvalued
SPOT,,1696.0,4.201161556603774,4.14,1.8,1.19,8.75,7.56,2.58,5.38,2.8,7.28,1.71,overvalued
TDG,,4830.0,5.344049689440994,4.85,2.07,1.66,11.21,9.55,4.08,6.52,2.44,9.2,1.86,overvalued
MSFT,,5465.0,7.088322049405308,6.64,3.27,2.64,14.7,12.06,4.18,9.17,4.99,13.81,2.06,overvalued
DE,,5111.0,1.5576971238505188,1.37,0.64,0.42,3.41,2.99,1.02,1.91,0.89,2.89,2.08,overvalued
BWMN,,533.0,0.9797936210131333,0.92,0.27,0.49,1.56,1.07,0.77,1.17,0.4,1.56,2.15,overvalued
WMT,,5856.0,0.7027476092896174,0.63,0.23,0.38,1.47,1.09,0.54,0.75,0.21,1.23,2.29,overvalued
GOOG,,2914.0,6.39518874399451,6.36,0.98,3.06,9.62,6.56,5.78,6.92,1.14,8.82,2.47,overvalued
JPM,,6025.0,2.624184232365145,2.48,0.83,0.83,5.09,4.26,2.03,3.27,1.24,4.83,2.66,overvalued
AMD,,5903.0,3.1834135185498895,1.32,3.61,0.17,15.47,15.3,0.63,5.01,4.38,13.86,2.96,overvalued
GS,,5958.0,2.4093017791205105,2.42,0.65,0.51,4.6,4.09,1.98,2.74,0.76,4.47,3.17,overvalued
GS,,5958.0,2.4093017791205105,2.42,0.65,0.51,4.6,4.09,1.98,2.74,0.76,4.47,3.17,overvalued
AVGO,,1852.0,9.65407667386609,7.49,5.53,2.94,28.95,26.01,5.63,12.36,6.73,27.74,3.27,overvalued
IBKR,,3688.0,1.9360764642082429,1.98,1.0,0.43,5.6,5.17,1.11,2.44,1.33,5.3,3.36,overvalued
CAT,,5929.0,1.5615365154326193,1.44,0.64,0.26,4.09,3.83,1.04,2.0,0.96,3.95,3.73,overvalued
VXX,no data,,,,,,,,,,,,,
DWMC,no data,,,,,,,,,,,,,
GBET,no data,,,,,,,,,,,,,
HOODJOBY,no data,,,,,,,,,,,,,
FIG,no data,,,,,,,,,,,,,
RXLB,no data,,,,,,,,,,,,,
IMVZ,no data,,,,,,,,,,,,,
SPY,no data,,,,,,,,,,,,,
GOOGL,no data,,,,,,,,,,,,,
XAR,no data,,,,,,,,,,,,,
BABA,no data,,,,,,,,,,,,,
XYZ,no data,,,,,,,,,,,,,
CBOD,no data,,,,,,,,,,,,,
KBE,no data,,,,,,,,,,,,,
OGIG,no data,,,,,,,,,,,,,
BTI,no data,,,,,,,,,,,,,
